,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,KL,CH,Hartigan,CCC,Scott,Marriot,TrCovW,TraceW,Friedman,Rubin,Cindex,DB,Silhouette,Duda,PseudoT2,Beale,Ratkowsky,Ball,PtBiserial,Frey,McClain,Dunn,Hubert,SDindex,Dindex,SDbw
1,D:\Z - Saved SQL Databases\44OP-160910_BU_Tidwell_Basement\JobDB.mdf,9,93,72,5,12,4,0,0,0,6,3,3,3,3,3,3,3,8,3,17,17,2,2,2,2,5,3,10,1,2,17,0,7,0,17
2,D:\Z - Saved SQL Databases\44OP-093324_Baylor_Bric_Bldg\JobDB.mdf,56,783,0,5,514,264,0,0,0,4,4,4,64,4,4,3,4,4,4,2,4,2,2,2,2,4,3,5,16,2,4,0,9,0,13
3,D:\Z - Saved SQL Databases\44OP-134749_ACC_JCP_Highland_Mall\JobDB.mdf,17,133,0,0,0,132,1,0,0,21,10,8,21,3,3,4,3,3,21,3,6,2,2,2,2,3,3,6,0,2,2,0,6,0,16
4,D:\Z - Saved SQL Databases\44OP-159826_BU_Soccer\JobDB.mdf,11,12,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,D:\Z - Saved SQL Databases\44OP-131383_SDMC_Surgery_Reno_PH2&3\JobDB.mdf,10,89,0,0,0,89,0,0,0,2,7,4,4,3,4,3,4,3,7,18,2,2,2,2,2,6,3,8,2,2,17,0,2,0,18
6,D:\Z - Saved SQL Databases\44OP-146118_ACC_RR_BLDG_3000_Boiler_Mods\JobDB.mdf,3,20,0,0,19,1,0,0,0,3,5,3,3,3,3,3,3,10,3,11,2,11,2,2,2,6,3,5,2,2,11,0,8,0,11
7,D:\Z - Saved SQL Databases\44OP-002754 TXSU Flowers\JobDB.mdf,7,144,0,0,4,140,0,0,0,4,2,6,2,4,9,3,6,4,6,15,15,2,2,2,2,6,3,9,1,2,14,0,15,0,15
8,D:\Z - Saved SQL Databases\44OP-119299_ACC_Hays\JobDB.mdf,85,649,0,0,2,629,18,0,0,31,2,15,85,13,15,3,15,15,19,93,2,2,2,2,2,4,3,6,13,2,2,0,6,0,9
9,D:\Z - Saved SQL Databases\44OP-155663_Baylor_BRIC_EHS\JobDB.mdf,63,768,2,5,489,268,4,0,0,39,2,10,63,11,11,11,12,19,19,71,2,2,2,2,2,2,3,2,11,2,2,0,5,0,10
10,D:\Z - Saved SQL Databases\44OP-143320_NAMC_Antepartum\JobDB.mdf,38,475,0,0,475,0,0,0,0,17,12,4,12,5,5,5,12,5,12,46,2,2,2,2,2,9,3,4,4,2,3,0,4,0,4
11,D:\Z - Saved SQL Databases\44OP-138902_Seton_HL_MRI_Addition\JobDB.mdf,4,41,0,0,41,0,0,0,0,11,2,11,2,11,6,3,3,11,11,12,2,2,2,2,2,5,3,3,0,2,2,0,3,0,12
12,D:\Z - Saved SQL Databases\44OP-147511_Seton_NW_Chiller_Replacement\JobDB.mdf,19,78,0,2,76,0,0,0,0,11,6,3,2,4,4,4,4,15,4,27,27,26,2,2,3,6,3,10,2,2,23,0,27,0,27
13,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research old\JobDB.mdf,19,103,0,0,103,0,0,0,0,13,8,3,2,4,4,4,4,18,19,27,2,2,2,2,2,8,3,12,3,2,27,0,2,0,27
14,D:\Z - Saved SQL Databases\44OP-154285_UT_EERC_MTC\JobDB.mdf,8,76,0,2,72,2,0,0,0,11,2,4,2,6,6,5,3,6,11,16,16,16,2,2,2,5,3,11,1,2,15,0,14,0,16
15,D:\Z - Saved SQL Databases\44OP-152745_INTEL_AN4_COMPRESSOR\JobDB.mdf,48,624,1,2,21,466,134,0,0,56,53,8,56,9,9,9,11,10,11,56,8,2,2,2,2,14,3,4,8,2,56,0,8,0,56
16,D:\Z - Saved SQL Databases\44OP-147217_HCA_Cedar_Park_FSED\JobDB.mdf,10,18,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,D:\Z - Saved SQL Databases\44OP-159849_UT_EERC_old\JobDB.mdf,245,1723,0,20,1188,174,260,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,D:\Z - Saved SQL Databases\44OP-163025_UT_TEST_BENCH\JobDB.mdf,1,24,24,0,0,0,0,0,0,3,8,3,8,3,3,3,3,8,8,2,3,2,2,2,2,3,3,3,0,2,3,0,3,0,9
19,D:\Z - Saved SQL Databases\44OP-153537_NAMC_PEDS\JobDB.mdf,1,40,0,0,40,0,0,0,0,2,2,3,2,4,4,3,3,4,7,9,2,2,2,2,2,3,3,5,0,2,2,0,2,0,9
20,D:\Z - Saved SQL Databases\44OP-130108_UT_Geography_Bldg\JobDB.mdf,21,92,0,0,92,0,0,0,0,13,12,5,19,6,6,6,6,29,21,29,2,2,2,2,2,7,3,4,5,2,28,0,2,0,28
21,D:\Z - Saved SQL Databases\44OP-103884_ACC_Elgin\JobDB.mdf,26,209,0,0,0,209,0,0,0,20,13,7,31,3,3,3,8,20,20,3,2,2,2,2,2,8,3,14,0,2,2,0,7,0,34
22,D:\Z - Saved SQL Databases\44OP-147028_UT_GEO_Package_6\JobDB.mdf,9,49,0,0,49,0,0,0,0,10,17,10,17,3,3,3,3,13,10,17,2,2,2,2,2,4,3,4,15,2,2,0,4,0,15
23,D:\Z - Saved SQL Databases\44OP-165943_Cirrus_Logic_HQ_Ph_2\JobDB.mdf,16,61,0,2,46,13,0,0,0,9,2,3,3,8,3,3,3,18,9,24,2,2,2,2,2,2,3,3,8,2,3,0,3,0,24
24,D:\Z - Saved SQL Databases\44OP-166059_Baylor_Elliston_Chapel\JobDB.mdf,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,D:\Z - Saved SQL Databases\44OP-170006_TXSU_Jones_Dining_Hall_Reno_chase\JobDB.mdf,25,126,0,2,123,1,0,0,0,30,21,4,23,3,3,3,3,3,21,2,4,3,2,2,2,5,3,4,1,2,3,0,8,0,31
26,D:\Z - Saved SQL Databases\44OP-142255_TFC_NSOC\JobDB.mdf,7,30,0,0,29,1,0,0,0,11,13,11,13,3,3,3,3,11,11,15,11,8,2,2,2,3,3,4,1,2,8,0,6,0,15
27,D:\Z - Saved SQL Databases\44OP-151758_Baylor_Business_School\JobDB.mdf,67,1809,1552,6,215,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D:\Z - Saved SQL Databases\44OP-156184_TFC_INS_PDB\JobDB.mdf,9,33,14,0,16,3,0,0,0,3,11,3,11,3,3,3,3,17,11,17,3,2,2,2,2,2,3,3,0,2,2,0,4,0,13
29,D:\Z - Saved SQL Databases\44OP-143748_UT_EERC\JobDB.mdf,39,60,0,0,60,0,0,0,0,3,3,3,3,45,3,3,3,47,3,47,47,47,2,2,2,5,3,7,1,2,47,0,47,0,47
30,D:\Z - Saved SQL Databases\44OP-156674_RRMC_NUC_CATH\JobDB.mdf,6,49,0,49,0,0,0,0,0,8,14,7,14,8,4,3,8,8,9,8,11,11,2,2,2,6,3,10,6,2,11,0,5,0,14
31,D:\Z - Saved SQL Databases\44OP-146488_TFC_DSHS_A600_Labs_Ph3\JobDB.mdf,16,34,5,0,1,28,0,0,0,11,15,3,15,3,3,3,3,23,15,24,3,2,2,2,2,4,3,4,21,2,3,0,4,0,14
32,D:\Z - Saved SQL Databases\44OP-140618_TAMU_CC_Dining_Hall\JobDB.mdf,2,31,15,0,16,0,0,0,0,8,10,8,10,4,4,3,3,8,8,2,8,2,2,2,2,5,3,7,0,2,3,0,6,0,10
33,D:\Z - Saved SQL Databases\44OP-154233_BU_Penland_Hall_Dining\JobDB.mdf,47,177,3,1,171,2,0,0,0,33,2,3,55,3,7,3,3,54,48,2,10,2,2,2,2,4,3,10,0,2,7,0,10,0,53
