,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,optk_X_gap_max,optk_X_gap_Tib,optk_X_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
26,D:\Z - Saved SQL Databases\44OP-142255_TFC_NSOC\JobDB.mdf,7.0,10,1.0,10.0,11,1.0,6.0,30.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0
27,D:\Z - Saved SQL Databases\44OP-151758_Baylor_Business_School\JobDB.mdf,67.0,1,1.0,58.0,58,1.0,1.0,1809.0,1552.0,6.0,215.0,36.0,0.0,0.0,0.0
28,D:\Z - Saved SQL Databases\44OP-156184_TFC_INS_PDB\JobDB.mdf,9.0,9,3.0,13.0,7,3.0,3.0,33.0,14.0,0.0,16.0,3.0,0.0,0.0,0.0
29,D:\Z - Saved SQL Databases\44OP-143748_UT_EERC\JobDB.mdf,39.0,12,1.0,41.0,25,1.0,4.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
30,D:\Z - Saved SQL Databases\44OP-156674_RRMC_NUC_CATH\JobDB.mdf,6.0,4,1.0,8.0,8,1.0,4.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0
31,D:\Z - Saved SQL Databases\44OP-146488_TFC_DSHS_A600_Labs_Ph3\JobDB.mdf,16.0,8,3.0,20.0,15,3.0,3.0,34.0,5.0,0.0,1.0,28.0,0.0,0.0,0.0
32,D:\Z - Saved SQL Databases\44OP-140618_TAMU_CC_Dining_Hall\JobDB.mdf,2.0,3,2.0,5.0,3,2.0,2.0,31.0,15.0,0.0,16.0,0.0,0.0,0.0,0.0
33,D:\Z - Saved SQL Databases\44OP-154233_BU_Penland_Hall_Dining\JobDB.mdf,47.0,15,4.0,51.0,33,4.0,6.0,177.0,3.0,1.0,171.0,2.0,0.0,0.0,0.0
34,D:\Z - Saved SQL Databases\44OP-155245_BRIC_Region_12_ESC\JobDB.mdf,81.0,71,5.0,87.0,67,5.0,5.0,768.0,2.0,5.0,500.0,257.0,4.0,0.0,0.0
35,D:\Z - Saved SQL Databases\44OP-124719_TAMU_Library\JobDB.mdf,40.0,33,2.0,41.0,34,2.0,9.0,307.0,22.0,1.0,280.0,4.0,0.0,0.0,0.0
36,D:\Z - Saved SQL Databases\44OP-159998 Jamie\JobDB.mdf,47.0,36,4.0,51.0,42,4.0,5.0,433.0,70.0,5.0,285.0,73.0,0.0,0.0,0.0
37,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research\JobDB.mdf,31.0,17,1.0,29.0,30,1.0,1.0,159.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0
38,D:\Z - Saved SQL Databases\44OP-171481_100_Congress_Civitas\JobDB.mdf,3.0,5,1.0,5.0,4,1.0,2.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
