,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,KL,CH,Hartigan,CCC,Scott,Marriot,TrCovW,TraceW,Friedman,Rubin,Cindex,DB,Silhouette,Duda,PseudoT2,Beale,Ratkowsky,Ball,PtBiserial,Frey,McClain,Dunn,Hubert,SDindex,Dindex,SDbw
26,D:\Z - Saved SQL Databases\44OP-142255_TFC_NSOC\JobDB.mdf,7,30,0,0,29,1,0,0,0,6,6,6,6,4,4,3,6,15,6,6,15,15,2,2,2,5,3,7,1,2,15,0,7,0,15
27,D:\Z - Saved SQL Databases\44OP-151758_Baylor_Business_School\JobDB.mdf,67,1809,1552,6,215,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D:\Z - Saved SQL Databases\44OP-156184_TFC_INS_PDB\JobDB.mdf,9,33,14,0,16,3,0,0,0,2,2,8,2,3,3,3,3,6,8,7,17,8,2,2,2,4,3,8,1,2,17,0,8,0,17
29,D:\Z - Saved SQL Databases\44OP-143748_UT_EERC\JobDB.mdf,39,60,0,0,60,0,0,0,0,2,2,3,9,14,3,3,3,47,10,8,47,47,2,2,2,4,3,10,2,2,47,0,7,0,47
30,D:\Z - Saved SQL Databases\44OP-156674_RRMC_NUC_CATH\JobDB.mdf,6,49,0,49,0,0,0,0,0,4,4,4,5,3,3,3,4,3,4,4,6,5,2,2,6,4,3,6,1,2,6,0,6,0,14
31,D:\Z - Saved SQL Databases\44OP-146488_TFC_DSHS_A600_Labs_Ph3\JobDB.mdf,16,34,5,0,1,28,0,0,0,10,3,10,10,3,3,3,3,24,10,9,24,24,2,2,2,4,3,10,2,2,24,0,12,0,24
32,D:\Z - Saved SQL Databases\44OP-140618_TAMU_CC_Dining_Hall\JobDB.mdf,2,31,15,0,16,0,0,0,0,3,2,9,2,8,4,5,9,9,9,9,2,2,2,2,2,2,3,2,5,2,2,0,2,0,10
33,D:\Z - Saved SQL Databases\44OP-154233_BU_Penland_Hall_Dining\JobDB.mdf,47,177,3,1,171,2,0,0,0,12,10,12,12,4,4,5,5,4,12,9,12,12,2,2,2,6,3,12,1,2,55,0,9,0,55
34,D:\Z - Saved SQL Databases\44OP-155245_BRIC_Region_12_ESC\JobDB.mdf,81,768,2,5,500,257,4,0,0,2,9,9,89,3,5,3,3,9,9,89,89,12,3,3,3,5,3,17,2,2,2,0,6,0,89
35,D:\Z - Saved SQL Databases\44OP-124719_TAMU_Library\JobDB.mdf,40,307,22,1,280,4,0,0,0,2,13,5,14,3,4,3,5,5,13,46,14,14,2,2,2,5,3,14,1,2,47,0,14,0,48
