,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,KL,CH,Hartigan,CCC,Scott,Marriot,TrCovW,TraceW,Friedman,Rubin,Cindex,DB,Silhouette,Duda,PseudoT2,Beale,Ratkowsky,Ball,PtBiserial,Frey,McClain,Dunn,Hubert,SDindex,Dindex,SDbw
1,D:\Z - Saved SQL Databases\44OP-160910_BU_Tidwell_Basement\JobDB.mdf,9.0,93.0,72.0,5.0,12.0,4.0,0.0,0.0,0.0,3.0,10.0,3.0,14.0,5.0,5.0,5.0,5.0,5.0,12.0,17.0,2.0,2.0,2.0,2.0,2.0,7.0,3.0,11.0,3.0,2.0,16.0,0.0,3.0,0.0,3.0
2,D:\Z - Saved SQL Databases\44OP-093324_Baylor_Bric_Bldg\JobDB.mdf,56.0,783.0,0.0,5.0,514.0,264.0,0.0,0.0,0.0,36.0,2.0,3.0,58.0,3.0,7.0,3.0,3.0,17.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,15.0,2.0,7.0,0.0,7.0,0.0,13.0
3,D:\Z - Saved SQL Databases\44OP-134749_ACC_JCP_Highland_Mall\JobDB.mdf,17.0,133.0,0.0,0.0,0.0,132.0,1.0,0.0,0.0,3.0,19.0,3.0,23.0,3.0,3.0,3.0,3.0,8.0,10.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,0.0,2.0,3.0,0.0,3.0,0.0,21.0
4,D:\Z - Saved SQL Databases\44OP-159826_BU_Soccer\JobDB.mdf,11.0,12.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,D:\Z - Saved SQL Databases\44OP-131383_SDMC_Surgery_Reno_PH2&3\JobDB.mdf,10.0,89.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,17.0,2.0,5.0,2.0,3.0,5.0,3.0,3.0,15.0,17.0,18.0,18.0,2.0,2.0,2.0,2.0,5.0,3.0,12.0,1.0,2.0,12.0,0.0,16.0,0.0,18.0
6,D:\Z - Saved SQL Databases\44OP-146118_ACC_RR_BLDG_3000_Boiler_Mods\JobDB.mdf,3.0,20.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,2.0,11.0,5.0,6.0,7.0,11.0,7.0,11.0,2.0,11.0,2.0,2.0,2.0,7.0,3.0,4.0,4.0,2.0,11.0,0.0,4.0,0.0,11.0
7,D:\Z - Saved SQL Databases\44OP-002754 TXSU Flowers\JobDB.mdf,7.0,144.0,0.0,0.0,4.0,140.0,0.0,0.0,0.0,7.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,15.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,2.0,3.0,0.0,3.0,0.0,3.0
8,D:\Z - Saved SQL Databases\44OP-119299_ACC_Hays\JobDB.mdf,85.0,649.0,0.0,0.0,2.0,629.0,18.0,0.0,0.0,2.0,2.0,14.0,92.0,15.0,15.0,3.0,3.0,15.0,21.0,93.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,15.0,2.0,3.0,0.0,5.0,0.0,14.0
9,D:\Z - Saved SQL Databases\44OP-155663_Baylor_BRIC_EHS\JobDB.mdf,63.0,768.0,2.0,5.0,489.0,268.0,4.0,0.0,0.0,71.0,3.0,14.0,71.0,15.0,15.0,3.0,16.0,15.0,16.0,71.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,6.0,16.0,2.0,6.0,0.0,9.0,0.0,10.0
10,D:\Z - Saved SQL Databases\44OP-143320_NAMC_Antepartum\JobDB.mdf,38.0,475.0,0.0,0.0,475.0,0.0,0.0,0.0,0.0,27.0,7.0,7.0,11.0,3.0,7.0,3.0,7.0,3.0,7.0,46.0,2.0,2.0,2.0,2.0,2.0,7.0,3.0,9.0,2.0,2.0,2.0,0.0,2.0,0.0,46.0
11,D:\Z - Saved SQL Databases\44OP-138902_Seton_HL_MRI_Addition\JobDB.mdf,4.0,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,2.0,3.0,3.0,3.0,3.0,8.0,8.0,12.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,11.0
12,D:\Z - Saved SQL Databases\44OP-147511_Seton_NW_Chiller_Replacement\JobDB.mdf,19.0,78.0,0.0,2.0,76.0,0.0,0.0,0.0,0.0,2.0,12.0,4.0,14.0,4.0,4.0,4.0,4.0,22.0,4.0,27.0,2.0,27.0,2.0,2.0,2.0,8.0,3.0,12.0,3.0,2.0,26.0,0.0,2.0,0.0,27.0
