,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,KL,CH,Hartigan,CCC,Scott,Marriot,TrCovW,TraceW,Friedman,Rubin,Cindex,DB,Silhouette,Duda,PseudoT2,Beale,Ratkowsky,Ball,PtBiserial,Frey,McClain,Dunn,Hubert,SDindex,Dindex,SDbw
1,D:\Z - Saved SQL Databases\44OP-160910_BU_Tidwell_Basement\JobDB.mdf,9,93,72,5,12,4,0,0,0,4,2,4,2,4,4,3,4,4,4,10,2,2,2,2,2,2,3,2,2,2,2,0,16,0,17
2,D:\Z - Saved SQL Databases\44OP-093324_Baylor_Bric_Bldg\JobDB.mdf,56,783,0,5,514,264,0,0,0,2,8,8,24,3,4,4,8,4,13,12,23,14,2,2,2,6,3,18,1,2,2,0,6,0,64
3,D:\Z - Saved SQL Databases\44OP-134749_ACC_JCP_Highland_Mall\JobDB.mdf,17,133,0,0,0,132,1,0,0,2,12,10,14,3,3,3,3,16,14,13,18,13,2,2,2,6,3,16,1,2,22,0,14,0,25
4,D:\Z - Saved SQL Databases\44OP-159826_BU_Soccer\JobDB.mdf,11,12,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,D:\Z - Saved SQL Databases\44OP-131383_SDMC_Surgery_Reno_PH2&3\JobDB.mdf,10,89,0,0,0,89,0,0,0,5,2,5,9,3,3,4,5,11,5,7,11,7,2,2,2,3,3,8,2,2,5,0,9,0,18
6,D:\Z - Saved SQL Databases\44OP-146118_ACC_RR_BLDG_3000_Boiler_Mods\JobDB.mdf,3,20,0,0,19,1,0,0,0,3,3,3,3,3,3,3,3,11,3,3,4,4,2,2,3,3,3,4,1,2,11,0,4,0,11
7,D:\Z - Saved SQL Databases\44OP-002754 TXSU Flowers\JobDB.mdf,7,144,0,0,4,140,0,0,0,6,4,4,6,3,3,3,4,3,4,8,6,5,4,4,2,4,3,6,1,2,2,0,6,0,15
8,D:\Z - Saved SQL Databases\44OP-119299_ACC_Hays\JobDB.mdf,85,649,0,0,2,629,18,0,0,21,9,9,16,3,4,3,5,4,9,14,93,15,2,2,2,5,3,21,1,2,2,0,6,0,93
9,D:\Z - Saved SQL Databases\44OP-155663_Baylor_BRIC_EHS\JobDB.mdf,63,768,2,5,489,268,4,0,0,2,11,5,71,3,7,3,5,10,13,55,23,13,2,2,2,5,3,24,1,2,2,0,20,0,71
10,D:\Z - Saved SQL Databases\44OP-143320_NAMC_Antepartum\JobDB.mdf,38,475,0,0,475,0,0,0,0,2,9,9,10,3,3,3,9,5,9,11,12,10,2,2,2,8,3,12,1,2,2,0,9,0,46
11,D:\Z - Saved SQL Databases\44OP-138902_Seton_HL_MRI_Addition\JobDB.mdf,4,41,0,0,41,0,0,0,0,2,2,3,2,3,3,3,3,12,3,3,12,2,2,2,2,3,3,2,2,2,2,0,12,0,12
12,D:\Z - Saved SQL Databases\44OP-147511_Seton_NW_Chiller_Replacement\JobDB.mdf,19,78,0,2,76,0,0,0,0,2,12,12,14,5,5,3,5,11,12,11,15,12,2,2,2,7,3,15,1,2,27,0,15,0,26
13,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research old\JobDB.mdf,19,103,0,0,103,0,0,0,0,2,9,9,12,3,3,3,3,7,9,13,14,13,2,2,2,5,3,12,1,2,23,0,9,0,27
14,D:\Z - Saved SQL Databases\44OP-154285_UT_EERC_MTC\JobDB.mdf,8,76,0,2,72,2,0,0,0,3,3,3,4,3,3,3,3,3,3,3,6,3,2,2,3,3,3,6,1,2,6,0,6,0,16
15,D:\Z - Saved SQL Databases\44OP-152745_INTEL_AN4_COMPRESSOR\JobDB.mdf,48,624,1,2,21,466,134,0,0,3,2,3,54,3,3,3,3,54,3,33,54,2,3,3,3,3,3,2,1,2,2,0,25,0,56
16,D:\Z - Saved SQL Databases\44OP-147217_HCA_Cedar_Park_FSED\JobDB.mdf,10,18,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,D:\Z - Saved SQL Databases\44OP-159849_UT_EERC_old\JobDB.mdf,245,1723,0,20,1188,174,260,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,D:\Z - Saved SQL Databases\44OP-163025_UT_TEST_BENCH\JobDB.mdf,1,24,24,0,0,0,0,0,0,2,3,3,2,3,3,5,3,7,3,4,9,9,2,2,2,6,3,6,1,2,9,0,9,0,9
19,D:\Z - Saved SQL Databases\44OP-153537_NAMC_PEDS\JobDB.mdf,1,40,0,0,40,0,0,0,0,2,3,3,2,3,3,3,3,9,3,8,9,9,2,2,2,6,3,9,1,2,9,0,9,0,9
20,D:\Z - Saved SQL Databases\44OP-130108_UT_Geography_Bldg\JobDB.mdf,21,92,0,0,92,0,0,0,0,2,2,4,11,3,4,3,4,12,4,17,28,11,2,2,2,4,3,11,1,2,28,0,10,0,29
21,D:\Z - Saved SQL Databases\44OP-103884_ACC_Elgin\JobDB.mdf,26,209,0,0,0,209,0,0,0,12,11,11,11,3,3,3,4,3,11,9,12,11,2,2,2,5,3,12,1,2,29,0,12,0,34
