index,old,new
307,DEG F ,DEG F
308,""" H20",in H2O
309,CNT,0
310,META,0
311,Degree,DEG F
312,MicroS,secs
313,KLBS,lbs/h
314,in.Hg.,in H2O
315,PsiG,spi
316,%HEAT,PCT
317,MAR KW,kWh
318,PORT,0
319,VOLTS,V
320,psi,psi
321,GPM_MI,gpm
322,TOTAL,0
323,% RLA,PCT
324,UNITS,0
325,INW,in H2O
326,degree,DEG F
327,PMP,0
328,NO DIM,0
329,KWH/W,kWh
330,days,hrs
331,PCTCLS,PCT
332,LOOP,PCT
333,157,0
334,BTUS/H,BTUh
335,∞,0
336,146,0
337,ft3/min,ft3/m
338,DegF,DEG F
339,MMBTU,BTU
340,BOILER,0
341,Secnds,secs
342,Amps,A
343,Btu/h,BTUh
344,CHLRS,A
345,in H20,in H2O
346,AMPs,A
347,SECND6,secs
348,G/M,gpm
349,CFMX10,ft3/m
350,FAULT,0
351,GALLONS,gal
352,FT3/MI,ft3/m
353,COMM,0
354,kw / t,kWh
355,PSID,psi
356,PERCNT,PCT
357,kW/Ton,kWh
358,KWH/Y,kWh
359,V,V
360,inWC,in H2O
361,Deg f,DEG F
362,% ON,PCT
363,MBTUH,BTUh
364,HRS,hrs
365,PSIG.,psi
366,VDC,V
367,PRCNT,PCT
368,Mode,0
369,RH,rh
370,GALLON,gal
371,Deg.,DEG F
372,VFD,0
373,IN-H2O,in H2O
374,CUFTLB,lbs/h
375,ft cd,ft3/m
376,DEG F,DEG F
377,FT3/M,ft3/m
378,psimin,psi
379,W,W
380,REQ,0
381,FT,ft3/m
382,MAY KW,kWh
383,P GAIN,PCT
384,P;CT,PCT
385,In H2O,in H2O
386,WC,in H2O
387,ft3/m,ft3/m
388,155,0
389,pph/Tn,pph
390,GALS/M,gpm
391,AMPS,A
392,GPM,gpm
393,Htz,Hz
394,% OVER,PCT
395,IP1,PCT
396,TWRS,0
397,in wc,in H2O
398,RP1,0
399,KGAL,gal
400,BTU LB,lbs/h
401,KW/TON,kWh
402,BTU'S,BTUh
403,SECOND,secs
404,Mohm-cm,0
405,S/m,0
406,BTU /,BTUh
407,DG,DEG F
408,LBS/HR,lbs/h
409,HP,kW
410,% opn,PCT
411,LBS,lbs/h
412,% Open,PCT
413,inH2O,in H2O
414,FPS,ft/s
415,SCF,ft3/m
416,%CLOSE,PCT
417,PCT.,PCT
418,I GAIN,PCT
419,KWH,kWh
420,W h,kWh
421,AREA,ft2
422,CWPS,0
423,ft3/s,ft3/m
424,SCNDS,secs
425,INCHES,in H2O
426,IPS,lbs
427,STARTS,0
428,BLRS,0
429,TONS,T
430,FT3/MIN,ft3/m
431,DEGS F,DEG F
432,$$,0
433,TONS H,ton-h
434,PPO,0
435,MBH,BTU
436,Btuh,BTUh
437,SYSTEM,0
438,secs,secs
439,IN WG,in H2O
440,LP1,0
